,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Habiganj,BD,84.56,moderate rain,24.3833,91.4167,উত্তর শৈলজুড়া (গয়েবপুর)
5,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
13,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
17,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
22,Saint George,US,79.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
27,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
40,Eyl,SO,77.63,overcast clouds,7.9803,49.8164,Amiin Hotel
41,Hami,CN,80.42,scattered clouds,42.8,93.45,Laoyutang Resort
42,Lodi,US,78.98,clear sky,38.1302,-121.2725,Wine & Roses
54,Atuona,PF,76.59,few clouds,-9.8,-139.0333,Villa Enata
61,Hithadhoo,MV,81.63,overcast clouds,-0.6,73.0833,Scoop Guest House
69,Hasaki,JP,83.21,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
75,Sinnamary,GF,77.88,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
78,Kapaa,US,82.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
79,Sao Filipe,CV,77.74,broken clouds,14.8961,-24.4956,Hotel Xaguate
82,Turbat,PK,82.09,overcast clouds,26.0023,63.044,Mubashar Quarters
83,Bengkulu,ID,82.0,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
85,Mabaruma,GY,75.72,broken clouds,8.2,-59.7833,Monty Brooms Guest House
92,Namatanai,PG,84.83,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
93,Leiyang,CN,84.0,few clouds,26.4024,112.8591,Dongyang Hotel
96,Dakar,SN,80.73,scattered clouds,14.6937,-17.4441,Novotel Dakar
99,Butaritari,KI,81.5,broken clouds,3.0707,172.7902,Isles Sunset Lodge
106,Rosarito,MX,75.67,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
110,Tura,IN,79.63,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
114,Sawakin,SD,84.67,few clouds,19.1059,37.3321,فندق الدويم
116,San Patricio,US,84.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
122,Tiarei,PF,82.0,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
