,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Kruisfontein,ZA,-34.0033,24.7314,56.88,84,100,1.43,overcast clouds
1,Waipawa,NZ,-41.4122,175.5153,52.54,70,100,11.74,overcast clouds
2,Pierre,US,44.3683,-100.351,56.28,54,0,7.0,clear sky
3,Esperance,AU,-33.8667,121.9,61.66,63,93,7.34,overcast clouds
4,Maryborough,AU,-25.5333,152.7,78.12,36,0,8.39,clear sky
5,Butaritari,KI,3.0707,172.7902,82.24,73,82,11.77,light rain
6,Punta Arenas,CL,-53.15,-70.9167,42.91,70,75,25.32,broken clouds
7,Rikitea,PF,-23.1203,-134.9692,68.38,60,0,14.56,clear sky
8,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,75,80,9.24,broken clouds
9,Black River,JM,18.0264,-77.8487,79.43,87,100,11.5,overcast clouds
10,Menden,DE,51.4333,7.8,51.85,88,0,11.5,clear sky
11,Lethem,GY,3.3803,-59.7968,77.79,77,58,5.55,broken clouds
12,Bani Walid,LY,31.7566,13.9942,70.05,67,14,6.91,few clouds
13,Bathsheba,BB,13.2167,-59.5167,81.21,78,75,13.8,broken clouds
14,Bluff,NZ,-46.6,168.3333,49.8,83,85,9.35,overcast clouds
15,Qaanaaq,GL,77.484,-69.3632,27.57,84,100,8.12,overcast clouds
16,Victoria,HK,22.2855,114.1577,91.45,90,34,9.78,scattered clouds
17,Hilo,US,19.7297,-155.09,79.29,89,20,1.01,few clouds
18,Torbay,CA,47.6666,-52.7314,51.17,90,2,5.01,clear sky
19,Port Alfred,ZA,-33.5906,26.891,60.19,91,100,9.24,overcast clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,57.09,87,0,5.99,clear sky
21,Clyde River,CA,70.4692,-68.5914,31.48,82,54,3.83,broken clouds
22,Bethel,US,41.3712,-73.414,61.65,88,65,6.51,light rain
23,Papetoai,PF,-17.4961,-149.8729,79.56,76,3,20.78,clear sky
24,Lamar,US,33.6668,-95.5836,75.36,43,0,10.36,clear sky
25,Santiago,CL,-33.4569,-70.6483,52.86,75,0,8.05,clear sky
26,Bogorodskoye,RU,56.55,37.8833,44.11,94,100,3.24,overcast clouds
27,East London,ZA,-33.0153,27.9116,66.09,82,100,9.08,overcast clouds
28,Carnarvon,AU,-24.8667,113.6333,75.36,40,0,18.01,clear sky
29,Vestmannaeyjar,IS,63.4427,-20.2734,42.73,72,3,15.52,clear sky
30,Ordzhonikidze,KZ,52.4411,61.7408,52.38,60,8,21.34,clear sky
31,Barrow,US,71.2906,-156.7887,28.42,86,100,8.05,overcast clouds
32,Brae,GB,60.3964,-1.353,46.08,82,100,27.72,light rain
