City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2022-09-21 18:45:45,62.456,-114.3525,55.92,71,75,16.11
1,Puerto Ayora,EC,2022-09-21 18:45:46,-0.7393,-90.3518,76.96,87,92,11.01
2,Jalu,LY,2022-09-21 18:45:46,29.0331,21.5482,92.91,13,5,7.76
3,Bengkulu,ID,2022-09-21 18:41:24,-3.8004,102.2655,74.48,90,44,3.02
4,Punta Arenas,CL,2022-09-21 18:42:37,-53.15,-70.9167,53.62,62,0,13.8
5,Carutapera,BR,2022-09-21 18:45:47,-1.195,-46.02,85.68,58,23,10.56
6,Saint-Philippe,RE,2022-09-21 18:45:47,-21.3585,55.7679,69.39,79,40,11.74
7,Praia,CV,2022-09-21 18:44:16,14.9215,-23.5087,82.94,65,75,16.11
8,Jamestown,US,2022-09-21 18:45:48,42.097,-79.2353,78.39,73,75,8.05
9,Yen Bai,VN,2022-09-21 18:45:48,21.7,104.8667,74.41,96,100,1.97
10,Challans,FR,2022-09-21 18:45:49,46.8436,-1.8749,68.2,50,4,8.39
11,Albany,US,2022-09-21 18:43:38,42.6001,-73.9662,77.23,68,10,4.34
12,Rikitea,PF,2022-09-21 18:45:49,-23.1203,-134.9692,73.02,75,0,14.45
13,Aykhal,RU,2022-09-21 18:45:50,66.0,111.5,9.52,95,83,5.19
14,Coquimbo,CL,2022-09-21 18:45:50,-29.9533,-71.3436,65.93,39,0,13.8
15,Aloleng,PH,2022-09-21 18:45:50,16.1307,119.7824,79.99,76,100,2.66
16,Dibulla,CO,2022-09-21 18:45:51,11.2725,-73.3091,84.47,70,98,6.29
17,Mitsamiouli,KM,2022-09-21 18:45:51,-11.3847,43.2844,73.69,88,20,5.75
18,San Cristobal,VE,2022-09-21 18:45:51,7.7669,-72.225,80.78,58,72,1.01
19,Yulara,AU,2022-09-21 18:45:52,-25.2406,130.9889,56.77,35,0,8.9
20,Ushuaia,AR,2022-09-21 18:44:02,-54.8,-68.3,49.66,53,40,10.36
21,Kodiak,US,2022-09-21 18:45:52,57.79,-152.4072,51.31,54,0,8.05
22,Leningradskiy,RU,2022-09-21 18:45:53,69.3833,178.4167,32.76,94,46,18.99
23,Dicabisagan,PH,2022-09-21 18:45:53,17.0818,122.4157,77.36,89,100,3.89
24,Udachnyy,RU,2022-09-21 18:45:53,66.4167,112.4,8.8,98,54,4.41
